"","Ref..No.","Location","Name","Accession.Number","event","value","DOY","year","gdd"
"2188",73,"A2","M. cylindrica","021434-0021-1982","First bud colour","2004-03-21",81,2004,120.31
"2189",73,"A2","M. cylindrica","021434-0021-1982","First bud colour","2005-03-13",72,2005,142.62
"2190",73,"A2","M. cylindrica","021434-0021-1982","First bud colour","2006-03-26",85,2006,103.14
"2191",73,"A2","M. cylindrica","021434-0021-1982","First bud colour","2007-03-25",84,2007,124.27
"2192",73,"A2","M. cylindrica","021434-0021-1982","First bud colour","2008-04-09",100,2008,93.82
"2193",73,"A2","M. cylindrica","021434-0021-1982","First bud colour","2009-04-11",101,2009,70.41
"2194",73,"A2","M. cylindrica","021434-0021-1982","First bud colour","1996-03-24",84,1996,120.64
"2195",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2001-04-18",108,2001,129.62
"2196",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2002-04-24",114,2002,171.14
"2197",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2003-04-06",96,2003,167.01
"2198",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2004-03-31",91,2004,165.1
"2199",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2005-03-23",82,2005,163.51
"2200",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2006-04-05",95,2006,140.27
"2201",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2007-04-11",101,2007,176.54
"2202",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2008-04-16",107,2008,123.15
"2203",76,NA,"M. cylindrica","029878-0469-1992","First bud colour","2009-04-26",116,2009,138.54
"2204",12,"B1","M. dawsoniana",NA,"First bud colour","1991-03-13",72,1991,63.53
"2205",12,"B1","M. dawsoniana",NA,"First bud colour","1992-03-04",64,1992,122.91
"2206",12,"B1","M. dawsoniana",NA,"First bud colour","1993-03-14",73,1993,67.22
"2207",12,"B1","M. dawsoniana",NA,"First bud colour","2004-03-16",76,2004,108.76
"2208",12,"B1","M. dawsoniana",NA,"First bud colour","1995-04-08",98,1995,184.37
"2209",12,"B1","M. dawsoniana",NA,"First bud colour","1996-03-13",73,1996,93.07
"2210",12,"B1","M. dawsoniana",NA,"First bud colour","1997-03-09",68,1997,61.74
"2211",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","1992-03-08",68,1992,137.66
"2212",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","1993-03-28",87,1993,95.95
"2213",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2004-03-27",87,2004,147.45
"2214",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","1995-03-15",74,1995,104.66
"2215",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","1996-03-20",80,1996,112.44
"2216",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","1997-03-26",85,1997,91.11
"2217",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","1998-03-18",77,1998,157.45
"2218",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","1999-03-21",80,1999,76.6
"2219",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2000-03-26",86,2000,80.98
"2220",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2001-03-14",73,2001,55.49
"2221",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2002-04-07",97,2002,105.7
"2222",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2003-03-16",75,2003,116.15
"2223",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2004-03-14",74,2004,103.06
"2224",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2006-03-19",78,2006,83.1
"2225",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2007-03-21",80,2007,114.89
"2226",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2008-03-23",83,2008,78.93
"2227",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First bud colour","2009-04-08",98,2009,57.56
"2228",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1991-04-04",94,1991,101.58
"2229",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1992-02-26",57,1992,93.79
"2230",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1993-03-28",87,1993,95.95
"2231",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2004-03-23",83,2004,133.26
"2232",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1995-03-15",74,1995,104.66
"2233",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1996-03-13",73,1996,93.07
"2234",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1997-03-23",82,1997,82.16
"2235",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1998-03-15",74,1998,149.96
"2236",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","1999-03-24",83,1999,91.9
"2237",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2000-03-29",89,2000,88.83
"2238",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2001-03-18",77,2001,63.83
"2239",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2002-04-03",93,2002,91.16
"2240",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2003-03-23",82,2003,135.13
"2241",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2004-03-10",70,2004,90.82
"2242",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2005-03-09",68,2005,125.92
"2243",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2006-03-19",78,2006,83.1
"2244",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2007-03-18",77,2007,107.84
"2245",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2008-03-26",86,2008,81.33
"2246",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First bud colour","2009-04-01",91,2009,40.59
"2247",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","1991-03-31",90,1991,89.53
"2248",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","1992-03-08",68,1992,137.66
"2249",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","1993-03-28",87,1993,95.95
"2250",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2004-03-16",76,2004,108.76
"2251",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","1996-03-17",77,1996,103.65
"2252",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","1997-03-23",82,1997,82.16
"2253",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","1998-03-11",70,1998,125.71
"2254",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","1999-03-24",83,1999,91.9
"2255",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2000-04-02",93,2000,104.27
"2256",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2001-03-25",84,2001,78.77
"2257",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2002-04-07",97,2002,105.7
"2258",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2003-03-23",82,2003,135.13
"2259",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2004-03-17",77,2004,112.41
"2260",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2005-03-09",68,2005,125.92
"2261",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2006-03-19",78,2006,83.1
"2262",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2007-03-21",80,2007,114.89
"2263",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2008-04-02",93,2008,81.42
"2264",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First bud colour","2009-04-08",98,2009,57.56
"2265",52,"E8","M. denudata","018821-0317-1980","First bud colour","1991-04-04",94,1991,101.58
"2266",52,"E8","M. denudata","018821-0317-1980","First bud colour","1992-03-04",64,1992,122.91
"2267",52,"E8","M. denudata","018821-0317-1980","First bud colour","1993-03-21",80,1993,82.11
"2268",52,"E8","M. denudata","018821-0317-1980","First bud colour","2004-03-16",76,2004,108.76
"2269",52,"E8","M. denudata","018821-0317-1980","First bud colour","1995-03-15",74,1995,104.66
"2270",52,"E8","M. denudata","018821-0317-1980","First bud colour","1996-03-17",77,1996,103.65
"2271",52,"E8","M. denudata","018821-0317-1980","First bud colour","1997-03-30",89,1997,100.1
"2272",52,"E8","M. denudata","018821-0317-1980","First bud colour","1998-03-04",63,1998,111.68
"2273",52,"E8","M. denudata","018821-0317-1980","First bud colour","1999-03-21",80,1999,76.6
"2274",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2001-04-08",98,2001,99.77
"2275",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2002-04-24",114,2002,171.14
"2276",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2003-03-23",82,2003,135.13
"2277",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2004-03-21",81,2004,120.31
"2278",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2005-04-09",99,2005,213.43
"2279",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2006-03-26",85,2006,103.14
"2280",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2007-03-28",87,2007,129.62
"2281",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2008-04-09",100,2008,93.82
"2282",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First bud colour","2009-04-11",101,2009,70.41
"2283",79,NA,"M. maudiae var. platypetala","033449-0539-1996","First bud colour","2002-04-14",104,2002,140.8
"2284",79,NA,"M. maudiae var. platypetala","033449-0539-1996","First bud colour","2008-04-16",107,2008,123.15
"2285",79,NA,"M. maudiae var. platypetala","033449-0539-1996","First bud colour","2009-05-03",123,2009,184.79
"2286",74,"A2","M. officinalis biloba","015711-0328-1978","First bud colour","1995-03-29",88,1995,138.84
"2287",74,"A2","M. officinalis biloba","015711-0328-1978","First bud colour","1996-05-05",126,1996,313.05
"2288",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1991-03-20",79,1991,70.63
"2289",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1992-02-26",57,1992,93.79
"2290",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1993-03-21",80,1993,82.11
"2291",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1994-03-09",68,1994,89.55
"2292",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1995-03-12",71,1995,90.88
"2293",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1996-03-13",73,1996,93.07
"2294",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1997-03-05",64,1997,54.79
"2295",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1998-02-25",56,1998,106.34
"2296",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","1999-03-10",69,1999,58.12
"2297",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2000-03-08",68,2000,39.29
"2298",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2001-03-07",66,2001,41.09
"2299",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2002-03-31",90,2002,85.67
"2300",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2003-03-02",61,2003,77.08
"2301",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2004-03-03",63,2004,72.78
"2302",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2005-02-23",54,2005,79.42
"2303",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2006-02-26",57,2006,59.36
"2304",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2007-03-07",66,2007,76.56
"2305",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2008-03-09",69,2008,58.48
"2306",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First bud colour","2009-04-05",95,2009,46.13
"2307",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","1995-03-15",74,1995,104.66
"2308",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","1996-03-27",87,1996,125.74
"2309",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","1997-03-26",85,1997,91.11
"2310",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","1999-03-24",83,1999,91.9
"2311",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2000-04-02",93,2000,104.27
"2312",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2001-04-01",91,2001,90.17
"2313",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2002-04-10",100,2002,117.95
"2314",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2003-03-16",75,2003,116.15
"2315",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2004-03-17",77,2004,112.41
"2316",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2005-03-13",72,2005,142.62
"2317",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2006-03-22",81,2006,90.29
"2318",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2007-03-21",80,2007,114.89
"2319",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2008-04-06",97,2008,88.32
"2320",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First bud colour","2009-04-19",109,2009,102.76
"2321",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First bud colour","1991-03-06",65,1991,60.64
"2322",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First bud colour","1992-03-04",64,1992,122.91
"2323",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First bud colour","1993-03-10",69,1993,62.02
"2324",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First bud colour","2004-03-13",73,2004,98.12
"2325",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First bud colour","1995-03-05",64,1995,71.28
"2326",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First bud colour","1996-03-10",70,1996,83.67
"2327",36,"D2","M. sargentiana (ex. var. robusta)","022111-0055-1982","First bud colour","2008-03-12",72,2008,66.23
"2328",36,"D2","M. sargentiana (ex. var. robusta)","022111-0055-1982","First bud colour","2009-04-01",91,2009,40.59
"2329",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1991-03-20",79,1991,70.63
"2330",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1992-03-01",61,1992,108.58
"2331",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1993-03-17",76,1993,70.52
"2332",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2004-03-13",73,2004,98.12
"2333",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1995-03-08",67,1995,71.68
"2334",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1996-03-17",77,1996,103.65
"2335",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1997-03-12",71,1997,62.68
"2336",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1998-03-04",63,1998,111.68
"2337",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","1999-03-21",80,1999,76.6
"2338",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2000-03-19",79,2000,61.44
"2339",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2001-03-11",70,2001,47.89
"2340",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2002-03-31",90,2002,85.67
"2341",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2003-03-12",71,2003,93.22
"2342",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2004-03-03",63,2004,72.78
"2343",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2006-03-12",71,2006,76.95
"2344",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2007-03-18",77,2007,107.84
"2345",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2008-03-19",79,2008,74.58
"2346",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First bud colour","2009-04-05",95,2009,46.13
"2347",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","1991-03-06",65,1991,60.64
"2348",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","1992-03-01",61,1992,108.58
"2349",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","1993-03-14",73,1993,67.22
"2350",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2004-03-09",69,2004,89.67
"2351",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","1995-03-01",60,1995,71.28
"2352",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","1996-03-10",70,1996,83.67
"2353",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","1997-03-05",64,1997,54.79
"2354",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","1999-03-10",69,1999,58.12
"2355",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2000-03-08",68,2000,39.29
"2356",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2001-03-04",63,2001,35.59
"2357",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2002-03-27",86,2002,73.43
"2358",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2003-03-02",61,2003,77.08
"2359",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2004-03-03",63,2004,72.78
"2360",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2005-02-23",54,2005,79.42
"2361",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2006-02-26",57,2006,59.36
"2362",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First bud colour","2007-03-12",71,2007,95.8
"2363",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1991-03-27",86,1991,77.73
"2364",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1992-03-08",68,1992,137.66
"2365",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1993-03-28",87,1993,95.95
"2366",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2004-03-16",76,2004,108.76
"2367",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1995-03-15",74,1995,104.66
"2368",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1996-03-17",77,1996,103.65
"2369",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1997-03-26",85,1997,91.11
"2370",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1998-03-15",74,1998,149.96
"2371",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","1999-03-24",83,1999,91.9
"2372",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2000-03-19",79,2000,61.44
"2373",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2001-03-18",77,2001,63.83
"2374",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2002-03-31",90,2002,85.67
"2375",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2003-03-16",75,2003,116.15
"2376",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2004-03-10",70,2004,90.82
"2377",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2005-02-27",58,2005,82.42
"2378",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2006-03-12",71,2006,76.95
"2379",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2007-03-21",80,2007,114.89
"2380",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2008-03-23",83,2008,78.93
"2381",22,"D8","M. sprengeri","018822-0317-1980","First bud colour","2009-04-01",91,2009,40.59
"2382",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1991-03-24",83,1991,75.18
"2383",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1992-03-08",68,1992,137.66
"2384",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1993-03-24",83,1993,91.45
"2385",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2004-03-16",76,2004,108.76
"2386",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1995-03-12",71,1995,90.88
"2387",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1996-03-13",73,1996,93.07
"2388",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1997-03-26",85,1997,91.11
"2389",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1998-03-11",70,1998,125.71
"2390",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","1999-03-21",80,1999,76.6
"2391",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2000-04-02",93,2000,104.27
"2392",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2001-03-21",80,2001,68.57
"2393",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2002-04-03",93,2002,91.16
"2394",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2003-03-16",75,2003,116.15
"2395",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2004-03-17",77,2004,112.41
"2396",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2005-03-09",68,2005,125.92
"2397",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2006-03-22",81,2006,90.29
"2398",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2007-03-21",80,2007,114.89
"2399",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2008-03-26",86,2008,81.33
"2400",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First bud colour","2009-04-08",98,2009,57.56
"2401",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2001-03-07",66,2001,41.09
"2402",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2002-03-27",86,2002,73.43
"2403",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2003-03-09",68,2003,81.28
"2404",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2004-03-03",63,2004,72.78
"2405",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2005-02-27",58,2005,82.42
"2406",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2006-03-08",67,2006,76.95
"2407",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2007-03-14",73,2007,96.6
"2408",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2008-03-12",72,2008,66.23
"2409",78,NA,"M. sprengeri 'Eric Savill'","028104-5283-1989","First bud colour","2009-03-25",84,2009,34.59
"2410",53,"F6","M  sprengeri 'Wakehurst' A.M.","021439-0021-1982","First bud colour","2003-04-09",99,2003,179.4
"2411",53,"F6","M. sprengeri 'Wakehurst'","021439-0021-1982","First bud colour","2004-03-24",84,2004,137.2
"2412",53,"F6","M. sprengeri 'Wakehurst'","021439-0021-1982","First bud colour","2005-03-13",72,2005,142.62
"2413",53,"F6","M. sprengeri 'Wakehurst'","021439-0021-1982","First bud colour","2006-04-02",92,2006,128.97
"2414",53,"F6","M. sprengeri 'Wakehurst'","021439-0021-1982","First bud colour","2007-04-01",91,2007,141.4
"2415",53,"F6","M. sprengeri 'Wakehurst'","021439-0021-1982","First bud colour","2008-04-09",100,2008,93.82
"2416",53,"F6","M. sprengeri 'Wakehurst'","021439-0021-1982","First bud colour","2009-04-15",105,2009,81.86
"2417",20,"C9","M. stellata","004191-0153-1972","First bud colour","1991-03-17",76,1991,63.68
"2418",20,"C9","M. stellata","004191-0153-1972","First bud colour","1992-03-04",64,1992,122.91
"2419",20,"C9","M. stellata","004191-0153-1972","First bud colour","1993-03-17",76,1993,70.52
"2420",20,"C9","M. stellata","004191-0153-1972","First bud colour","2004-03-13",73,2004,98.12
"2421",20,"C9","M. stellata","004191-0153-1972","First bud colour","1995-03-08",67,1995,71.68
"2422",20,"C9","M. stellata","004191-0153-1972","First bud colour","1996-03-10",70,1996,83.67
"2423",20,"C9","M. stellata","004191-0153-1972","First bud colour","1997-03-26",85,1997,91.11
"2424",20,"C9","M. stellata","004191-0153-1972","First bud colour","1998-03-11",70,1998,125.71
"2425",20,"C9","M. stellata","004191-0153-1972","First bud colour","1999-03-21",80,1999,76.6
"2426",20,"C9","M. stellata","004191-0153-1972","First bud colour","2000-03-29",89,2000,88.83
"2427",20,"C9","M. stellata","004191-0153-1972","First bud colour","2001-03-28",87,2001,83.07
"2428",20,"C9","M. stellata","004191-0153-1972","First bud colour","2002-04-10",100,2002,117.95
"2429",20,"C9","M. stellata","004191-0153-1972","First bud colour","2003-03-16",75,2003,116.15
