"","Ref. No.","Location","Name","Accession Number","event","value","DOY","year"
"2463",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",1999-04-07,97,1999
"2464",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2000-03-29,89,2000
"2465",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2001-03-28,87,2001
"2466",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2002-04-14,104,2002
"2467",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2003-03-19,78,2003
"2468",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2004-03-17,77,2004
"2469",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2005-03-05,64,2005
"2470",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2006-03-19,78,2006
"2471",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2007-03-28,87,2007
"2472",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2008-04-09,100,2008
"2473",39,"D2","M. 'Forrest's Pink'","021436-0004-1982","First flower fully open",2009-04-08,98,2009
"2474",40,"D2","M. biondii","024459-0330-1984","First flower fully open",1992-03-15,75,1992
"2475",40,"D2","M. biondii","024459-0330-1984","First flower fully open",1993-03-17,76,1993
"2476",40,"D2","M. biondii","024459-0330-1984","First flower fully open",2004-03-13,73,2004
"2477",40,"D2","M. biondii","024459-0330-1984","First flower fully open",1995-03-19,78,1995
"2478",40,"D2","M. biondii","024459-0330-1984","First flower fully open",1996-03-20,80,1996
"2479",40,"D2","M. biondii","024459-0330-1984","First flower fully open",1997-03-26,85,1997
"2480",40,"D2","M. biondii","024459-0330-1984","First flower fully open",1998-03-15,74,1998
"2481",40,"D2","M. biondii","024459-0330-1984","First flower fully open",1999-04-04,94,1999
"2482",40,"D2","M. biondii","024459-0330-1984","First flower fully open",2000-04-05,96,2000
"2483",40,"D2","M. biondii","024459-0330-1984","First flower fully open",2001-04-01,91,2001
"2484",40,"D2","M. biondii","024459-0330-1984","First flower fully open",2002-04-14,104,2002
"2485",40,"D2","M. biondii","024459-0330-1984","First flower fully open",2003-03-19,78,2003
"2486",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",1991-03-31,90,1991
"2487",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",1992-03-11,71,1992
"2488",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",1993-03-24,83,1993
"2489",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2004-03-20,80,2004
"2490",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",1995-03-19,78,1995
"2491",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",1996-04-07,98,1996
"2492",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",1997-03-30,89,1997
"2493",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",1999-03-31,90,1999
"2494",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2000-03-29,89,2000
"2495",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2001-03-28,87,2001
"2496",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2002-04-10,100,2002
"2497",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2003-03-16,75,2003
"2498",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2004-03-14,74,2004
"2499",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2005-03-02,61,2005
"2500",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2006-03-19,78,2006
"2501",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2007-04-01,91,2007
"2502",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2008-04-02,93,2008
"2503",44,"D5","M. campbellii","010878-0156-1974","First flower fully open",2009-04-15,105,2009
"2504",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",1992-03-11,71,1992
"2505",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",1993-03-31,90,1993
"2506",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2004-03-30,90,2004
"2507",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",1995-03-19,78,1995
"2508",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",1996-04-07,98,1996
"2509",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",1997-04-02,92,1997
"2510",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",1998-03-15,74,1998
"2511",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",1999-03-24,83,1999
"2512",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2000-04-02,93,2000
"2513",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2001-03-25,84,2001
"2514",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2002-04-07,97,2002
"2515",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2004-03-14,74,2004
"2516",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2005-03-05,64,2005
"2517",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2006-03-26,85,2006
"2518",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2007-03-18,77,2007
"2519",29,"E9","M. campbellii 'Ethel Hillier'","022740-0055-1983","First flower fully open",2008-04-06,97,2008
"2520",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2000-04-05,96,2000
"2521",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2001-04-01,91,2001
"2522",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2002-04-14,104,2002
"2523",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2003-03-16,75,2003
"2524",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2004-03-17,77,2004
"2525",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2005-03-05,64,2005
"2526",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2006-03-26,85,2006
"2527",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2007-04-08,98,2007
"2528",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2008-04-13,104,2008
"2529",58,"F8","M. campbellii 'Landicla'","021430-5235-1982","First flower fully open",2009-04-26,116,2009
"2530",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2000-03-29,89,2000
"2531",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2003-03-27,86,2003
"2532",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2004-03-17,77,2004
"2533",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2005-03-09,68,2005
"2534",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2006-03-26,85,2006
"2535",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2007-03-21,80,2007
"2536",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2008-04-02,93,2008
"2537",27,"E9","M. campbellii (deep pink form)","021425-0055-1984","First flower fully open",2009-04-19,109,2009
"2538",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",1991-04-04,94,1991
"2539",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",1992-03-15,75,1992
"2540",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",1993-03-28,87,1993
"2541",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2004-03-20,80,2004
"2542",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",1996-03-31,91,1996
"2543",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",1997-03-30,89,1997
"2544",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",1998-03-15,74,1998
"2545",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",1999-03-28,87,1999
"2546",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2000-03-29,89,2000
"2547",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2001-03-25,84,2001
"2548",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2002-04-03,93,2002
"2549",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2003-03-12,71,2003
"2550",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2004-03-14,74,2004
"2551",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2005-03-09,68,2005
"2552",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2006-03-22,81,2006
"2553",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2007-03-21,80,2007
"2554",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2008-04-02,93,2008
"2555",28,"E9","M. campbellii (F.C.C. form)","022739-5255-1983","First flower fully open",2009-04-11,101,2009
"2556",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",1992-03-15,75,1992
"2557",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",1993-04-04,94,1993
"2558",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2004-03-27,87,2004
"2559",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",1995-03-19,78,1995
"2560",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",1996-03-24,84,1996
"2561",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",1997-04-02,92,1997
"2562",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",1999-04-04,94,1999
"2563",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2000-04-02,93,2000
"2564",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2001-04-01,91,2001
"2565",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2002-04-10,100,2002
"2566",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2003-03-19,78,2003
"2567",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2004-03-17,77,2004
"2568",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2005-03-13,72,2005
"2569",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2006-03-26,85,2006
"2570",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2007-04-01,91,2007
"2571",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2008-04-09,100,2008
"2572",67,"F1","M. campbellii (hybrid)","017989-0317-1979","First flower fully open",2009-04-19,109,2009
"2573",80,NA,"M. campbellii subsp. campbellii 'Betty Jessel'","028872-0618-1990","First flower fully open",2002-04-28,118,2002
"2574",80,NA,"M. campbellii subsp. campbellii 'Betty Jessel'","028872-0618-1990","First flower fully open",2004-04-11,102,2004
"2575",80,NA,"M. campbellii subsp. campbellii 'Betty Jessel'","028872-0618-1990","First flower fully open",2005-03-30,89,2005
"2576",80,NA,"M. campbellii subsp. campbellii 'Betty Jessel'","028872-0618-1990","First flower fully open",2006-04-09,99,2006
"2577",80,NA,"M. campbellii subsp. campbellii 'Betty Jessel'","028872-0618-1990","First flower fully open",2008-04-20,111,2008
"2578",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1991-04-04,94,1991
"2579",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1992-03-08,68,1992
"2580",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1993-04-04,94,1993
"2581",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2004-03-23,83,2004
"2582",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1995-03-19,78,1995
"2583",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1996-03-20,80,1996
"2584",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1997-04-02,92,1997
"2585",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1998-03-22,81,1998
"2586",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",1999-04-11,101,1999
"2587",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2000-03-29,89,2000
"2588",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2001-03-28,87,2001
"2589",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2002-04-10,100,2002
"2590",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2003-03-19,78,2003
"2591",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2004-03-17,77,2004
"2592",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2005-03-13,72,2005
"2593",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2006-03-29,88,2006
"2594",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2007-03-28,87,2007
"2595",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2008-04-02,93,2008
"2596",50,"D5","M. campbellii subsp. mollicomata","016524-0317-1978","First flower fully open",2009-04-08,98,2009
"2597",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2004-03-27,87,2004
"2598",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",1996-04-10,101,1996
"2599",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",1997-03-26,85,1997
"2600",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",1999-03-28,87,1999
"2601",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2000-03-29,89,2000
"2602",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2001-03-28,87,2001
"2603",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2002-04-10,100,2002
"2604",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2003-03-16,75,2003
"2605",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2004-03-14,74,2004
"2606",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2005-03-05,64,2005
"2607",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2006-03-19,78,2006
"2608",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2007-03-21,80,2007
"2609",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First flower fully open",2008-03-23,83,2008
"2610",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2004-03-27,87,2004
"2611",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",1995-03-22,81,1995
"2612",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",1996-03-31,91,1996
"2613",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",1997-03-30,89,1997
"2614",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",1999-03-28,87,1999
"2615",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2000-03-29,89,2000
"2616",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2001-03-28,87,2001
"2617",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2002-04-07,97,2002
"2618",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2003-03-19,78,2003
"2619",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2004-03-14,74,2004
"2620",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2005-03-09,68,2005
"2621",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2006-03-19,78,2006
"2622",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2007-04-01,91,2007
"2623",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First flower fully open",2008-03-26,86,2008
"2624",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",1991-04-14,104,1991
"2625",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",1992-03-25,85,1992
"2626",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",1993-04-10,100,1993
"2627",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2004-04-03,94,2004
"2628",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",1995-04-02,92,1995
"2629",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",1997-04-13,103,1997
"2630",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",1998-03-25,84,1998
"2631",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",1999-04-14,104,1999
"2632",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2000-04-16,107,2000
"2633",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2001-04-11,101,2001
"2634",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2002-04-21,111,2002
"2635",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2003-04-02,92,2003
"2636",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2004-03-28,88,2004
"2637",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2005-03-20,79,2005
"2638",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2006-04-09,99,2006
"2639",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2007-04-01,91,2007
"2640",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2008-04-16,107,2008
"2641",73,"A2","M. cylindrica","021434-0021-1982","First flower fully open",2009-04-19,109,2009
"2642",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2001-04-25,115,2001
"2643",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2002-05-05,125,2002
"2644",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2003-04-16,106,2003
"2645",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2004-04-07,98,2004
"2646",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2005-04-10,100,2005
"2647",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2006-04-23,113,2006
"2648",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2007-04-18,108,2007
"2649",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2008-04-27,118,2008
"2650",76,NA,"M. cylindrica","029878-0469-1992","First flower fully open",2009-05-03,123,2009
"2651",12,"B1","M. dawsoniana",NA,"First flower fully open",1991-03-20,79,1991
"2652",12,"B1","M. dawsoniana",NA,"First flower fully open",1992-03-08,68,1992
"2653",12,"B1","M. dawsoniana",NA,"First flower fully open",1993-03-21,80,1993
"2654",12,"B1","M. dawsoniana",NA,"First flower fully open",2004-03-20,80,2004
"2655",12,"B1","M. dawsoniana",NA,"First flower fully open",1995-03-15,74,1995
"2656",12,"B1","M. dawsoniana",NA,"First flower fully open",1996-03-20,80,1996
"2657",12,"B1","M. dawsoniana",NA,"First flower fully open",1997-03-23,82,1997
"2658",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",1992-03-15,75,1992
"2659",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",1993-04-04,94,1993
"2660",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2004-04-03,94,2004
"2661",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",1995-03-19,78,1995
"2662",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",1996-03-24,84,1996
"2663",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",1997-04-02,92,1997
"2664",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",1998-03-22,81,1998
"2665",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",1999-03-28,87,1999
"2666",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2000-03-29,89,2000
"2667",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2001-03-28,87,2001
"2668",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2002-04-10,100,2002
"2669",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2003-03-16,75,2003
"2670",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2004-03-14,74,2004
"2671",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2005-03-05,64,2005
"2672",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2006-03-19,78,2006
"2673",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2007-03-25,84,2007
"2674",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2008-03-23,83,2008
"2675",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First flower fully open",2009-04-11,101,2009
"2676",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1991-04-14,104,1991
"2677",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1992-03-22,82,1992
"2678",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1993-04-07,97,1993
"2679",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2004-03-27,87,2004
"2680",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1995-03-29,88,1995
"2681",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1996-03-24,84,1996
"2682",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1997-04-06,96,1997
"2683",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1998-03-22,81,1998
"2684",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",1999-04-07,97,1999
"2685",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2000-04-09,100,2000
"2686",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2001-03-28,87,2001
"2687",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2002-04-10,100,2002
"2688",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2003-03-30,89,2003
"2689",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2004-03-24,84,2004
"2690",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2005-03-09,68,2005
"2691",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2006-03-26,85,2006
"2692",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2007-04-01,91,2007
"2693",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2008-04-13,104,2008
"2694",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First flower fully open",2009-04-11,101,2009
"2695",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",1991-04-17,107,1991
"2696",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",1992-03-15,75,1992
"2697",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",1993-04-04,94,1993
"2698",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2004-03-30,90,2004
"2699",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",1996-03-24,84,1996
"2700",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",1997-04-13,103,1997
"2701",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",1998-03-22,81,1998
"2702",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",1999-04-11,101,1999
"2703",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2000-04-12,103,2000
"2704",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2001-04-04,94,2001
"2705",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2002-04-14,104,2002
"2706",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2003-03-30,89,2003
"2707",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2004-03-24,84,2004
"2708",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2005-03-13,72,2005
"2709",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2006-03-29,88,2006
"2710",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2008-04-13,104,2008
"2711",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First flower fully open",2009-04-19,109,2009
"2712",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1991-04-14,104,1991
"2713",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1992-03-15,75,1992
"2714",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1993-04-10,100,1993
"2715",52,"E8","M. denudata","018821-0317-1980","First flower fully open",2004-04-03,94,2004
"2716",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1995-04-02,92,1995
"2717",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1996-03-20,80,1996
"2718",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1997-04-16,106,1997
"2719",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1998-03-25,84,1998
"2720",52,"E8","M. denudata","018821-0317-1980","First flower fully open",1999-04-14,104,1999
"2721",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First flower fully open",2001-04-22,112,2001
"2722",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First flower fully open",2002-05-01,121,2002
"2723",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First flower fully open",2003-04-09,99,2003
